topic,target_word,rank,human_similar_word,human_similarity,ai_similar_word,ai_similarity
경제학,기업,1,대기업,0.7330557107925415,실적,0.6119210720062256
경제학,기업,2,기업인,0.6961013078689575,해외여행,0.6054061055183411
경제학,기업,3,기업가,0.6942339539527893,투자,0.5784862041473389
경제학,기업,4,기업체,0.6841225028038025,판매,0.5700949430465698
경제학,기업,5,공기업,0.6788609027862549,상품,0.5685068964958191
경제학,기업,6,중소기업,0.6522988080978394,수익,0.5672987103462219
경제학,기업,7,재무,0.6380100250244141,대기업,0.5651909112930298
경제학,기업,8,경영,0.6375542879104614,경쟁자,0.56395024061203
경제학,기업,9,경쟁자,0.6137326955795288,시장,0.5563310384750366
경제학,기업,10,투자자,0.6103743314743042,신규,0.5527655482292175
경제학,투자,1,투자가,0.8062019348144531,투자가,0.7431851625442505
경제학,투자,2,투자자,0.7771621942520142,조달,0.6574078798294067
경제학,투자,3,주식,0.7393545508384705,가계도,0.6521621346473694
경제학,투자,4,투자신탁,0.7131561040878296,가계부채,0.6517093777656555
경제학,투자,5,펀드,0.7126005291938782,자본시장,0.6510241031646729
경제학,투자,6,회사채,0.6951987743377686,차입,0.645586371421814
경제학,투자,7,수익,0.68863844871521,실적,0.6450334191322327
경제학,투자,8,수익금,0.687142014503479,수익,0.6389912366867065
경제학,투자,9,자본금,0.6831813454627991,불황,0.6243664622306824
경제학,투자,10,주식시장,0.6819286942481995,주식시장,0.619610607624054
법률·법학,행위,1,위법행위,0.7686158418655396,위법행위,0.6523335576057434
법률·법학,행위,2,기망행위,0.7468039393424988,불법행위,0.6437969207763672
법률·법학,행위,3,공법행위,0.7394883632659912,행위자,0.5952028036117554
법률·법학,행위,4,불법행위,0.6996570229530334,불법행위법,0.5716696977615356
법률·법학,행위,5,기속행위,0.6866424679756165,법률상,0.5700854659080505
법률·법학,행위,6,알선,0.68563312292099,책임능력,0.5643061995506287
법률·법학,행위,7,행위자,0.6749420166015625,법률행위,0.5586760640144348
법률·법학,행위,8,과실,0.6723901033401489,불이익,0.5510261654853821
법률·법학,행위,9,주거침입,0.6717389225959778,손해배상,0.549545407295227
법률·법학,행위,10,부수,0.6713325381278992,잘못,0.5473386645317078
법률·법학,절차,1,파산법,0.7446861267089844,실체,0.7087908983230591
법률·법학,절차,2,회생,0.7353158593177795,재판,0.7073047161102295
법률·법학,절차,3,도산,0.7288550138473511,행정절차,0.6732342839241028
법률·법학,절차,4,구술,0.7268112897872925,소송,0.662086009979248
법률·법학,절차,5,의견청취,0.7198694348335266,정당성,0.6600379943847656
법률·법학,절차,6,계고처분,0.7198013663291931,적법절차,0.6363013386726379
법률·법학,절차,7,소송요건,0.7153124213218689,행정소송,0.6362282633781433
법률·법학,절차,8,본안,0.7084411978721619,수사,0.6141261458396912
법률·법학,절차,9,각하,0.7038751244544983,형사재판,0.607883095741272
법률·법학,절차,10,현행법,0.7035192847251892,구제,0.5953954458236694
교육학,학습,1,학습자,0.7710587978363037,수업,0.737383246421814
교육학,학습,2,체험학습,0.7034314870834351,학습자,0.7100700736045837
교육학,학습,3,주도,0.6577054262161255,학생,0.7066611647605896
교육학,학습,4,글쓰기,0.6533265113830566,교육,0.6719522476196289
교육학,학습,5,수업,0.6498870253562927,배움,0.6553224325180054
교육학,학습,6,동기부여,0.6470466256141663,피드백,0.6467926502227783
교육학,학습,7,협동,0.6455138325691223,성취도,0.6430020332336426
교육학,학습,8,수행평가,0.6403149962425232,성취,0.6257977485656738
교육학,학습,9,교육활동,0.6352365612983704,교육활동,0.6181934475898743
교육학,학습,10,진로,0.6325570940971375,교사,0.6169374585151672
교육학,학생,1,중학생,0.7180176377296448,학습자,0.8198708295822144
교육학,학생,2,학급,0.7047742009162903,학습,0.7066612243652344
교육학,학생,3,남학생,0.6958270072937012,수업,0.6787740588188171
교육학,학생,4,대학생,0.6930236220359802,교사,0.6656396985054016
교육학,학생,5,초등학생,0.6739251017570496,안내,0.6379652619361877
교육학,학생,6,학생회,0.6701552867889404,정기,0.6271041035652161
교육학,학생,7,여학생,0.6497281193733215,적성,0.6194274425506592
교육학,학생,8,고등학생,0.6411818265914917,격려,0.6136295199394226
교육학,학생,9,유학생,0.6319754123687744,과목,0.6128162145614624
교육학,학생,10,교사,0.6292849183082581,친구,0.6124468445777893
자연과학,에너지,1,위치에너지,0.863106369972229,운동에너지,0.7813634872436523
자연과학,에너지,2,운동에너지,0.809715986251831,방출,0.6493328809738159
자연과학,에너지,3,암흑에너지,0.7909663915634155,빛과,0.6155427098274231
자연과학,에너지,4,방출,0.7010385990142822,변환,0.5714274048805237
자연과학,에너지,5,뉴트리노,0.6958876252174377,일어나며,0.5705432891845703
자연과학,에너지,6,핵분열,0.6958370804786682,호흡,0.5701661705970764
자연과학,에너지,7,흡수,0.6950538158416748,일어난다,0.5589773058891296
자연과학,에너지,8,소모,0.6939283609390259,태양도,0.5558069944381714
자연과학,에너지,9,핵반응,0.6902923583984375,태양광,0.545974612236023
자연과학,에너지,10,광자,0.6873592734336853,내미다,0.5416114330291748
자연과학,지구,1,지구인,0.757278561592102,달이,0.6279876232147217
자연과학,지구,2,지구촌,0.7478616833686829,태양,0.6116836667060852
자연과학,지구,3,화성,0.6631940007209778,자연위성,0.5938431024551392
자연과학,지구,4,태양일,0.6594956517219543,태양빛,0.5860734581947327
자연과학,지구,5,공전,0.6552298665046692,일식,0.5662030577659607
자연과학,지구,6,자전,0.648004412651062,개기월식,0.561430037021637
자연과학,지구,7,태양열,0.6447966694831848,월식,0.5599408149719238
자연과학,지구,8,태양빛,0.6384777426719666,주위,0.5573952198028564
자연과학,지구,9,태양계,0.6350578665733337,공전,0.5565052032470703
자연과학,지구,10,태양광,0.628151535987854,태양도,0.55137038230896
천문학,우주,1,세트,0.8098821640014648,천문학,0.6640990376472473
천문학,우주,2,우주관,0.7188541293144226,관측,0.64190274477005
천문학,우주,3,우주복,0.7116034030914307,빛점,0.6127451658248901
천문학,우주,4,우주상수,0.6774665117263794,기원,0.609627366065979
천문학,우주,5,팽창,0.6719620823860168,모임,0.6075294613838196
천문학,우주,6,우주인,0.6711716651916504,천체,0.6045916080474854
천문학,우주,7,빅뱅,0.6346433758735657,전파천문학,0.5881017446517944
천문학,우주,8,우주론,0.6346419453620911,우주론,0.5872496366500854
천문학,우주,9,우주선,0.6319783329963684,밝혀내다,0.5809545516967773
천문학,우주,10,다중우주,0.6167513132095337,빅뱅,0.5799552798271179
천문학,행성,1,내행성,0.8292257785797119,왜행성,0.7330673336982727
천문학,행성,2,태양계,0.8262131810188293,왜소행성,0.6996887922286987
천문학,행성,3,왜소행성,0.8245530724525452,내행성,0.6887124180793762
천문학,행성,4,소행성,0.8217892646789551,외행성,0.6857215762138367
천문학,행성,5,행성계,0.8135066628456116,항성,0.6732907891273499
천문학,행성,6,외행성,0.8093630075454712,행성계,0.6649201512336731
천문학,행성,7,목성,0.7919609546661377,천체,0.664280116558075
천문학,행성,8,항성계,0.7869472503662109,항성계,0.6564125418663025
천문학,행성,9,외계행성,0.7671328186988831,소행성,0.642882764339447
천문학,행성,10,해왕성,0.7626218795776367,외계행성,0.641622006893158
