topic,word,human_count,ai_count,total_count
경제학,으로,1859,1741,3600
경제학,에서,1381,977,2358
경제학,가격,195,1714,1909
법률·법학,으로,2517,1314,3831
법률·법학,에서,1534,926,2460
법률·법학,않다,1149,741,1890
교육학,학습,351,3251,3602
교육학,학생,751,2792,3543
교육학,으로,1776,1178,2954
자연과학,에서,1809,1221,3030
자연과학,으로,1940,1049,2989
자연과학,않다,982,547,1529
천문학,으로,1896,1909,3805
천문학,에서,1812,1171,2983
천문학,우주,963,1999,2962
