topic,word,human_count,ai_count,total_count
경제학,기업,444,1328,1772
경제학,투자,309,546,855
법률·법학,행위,575,637,1212
법률·법학,절차,297,898,1195
교육학,학습,351,3251,3602
교육학,학생,751,2792,3543
자연과학,에너지,221,1024,1245
자연과학,지구,360,521,881
천문학,우주,963,1999,2962
천문학,행성,423,1502,1925
