source,topic_code,total_sentences,total_tokens,unique_tokens,avg_tokens_per_sentence
ai,320,10000,197418,2557,19.7418
ai,360,10000,185942,2900,18.5942
ai,370,10000,175656,2269,17.5656
ai,400,10000,159203,3100,15.9203
ai,440,10000,180636,2525,18.0636
human,320,10000,226363,15965,22.6363
human,360,10000,282703,16085,28.2703
human,370,10000,228039,14164,22.8039
human,400,10000,230174,16653,23.0174
human,440,10000,228721,16345,22.8721
